DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/03/2018,9:00,MANHATTAN,10018,40.75529,-73.99493,"(40.75529, -73.99493)",WEST 37 STREET                  ,9 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3894015,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,9:00,BROOKLYN,11215,40.666542,-73.98961,"(40.666542, -73.98961)",,,242       14 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,3893291,SPORT UTILITY / STATION WAGON,,,,
05/03/2018,9:00,BROOKLYN,11207,40.679546,-73.89115,"(40.679546, -73.89115)",,,104       HENDRIX STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3893211,PASSENGER VEHICLE,,,,
05/03/2018,8:59,,,40.72935,-73.910194,"(40.72935, -73.910194)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3893625,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/03/2018,8:55,BROOKLYN,11238,40.68333,-73.95612,"(40.68333, -73.95612)",FRANKLIN AVENUE                 ,PUTNAM AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3893740,SPORT UTILITY / STATION WAGON,VN,,,
05/03/2018,8:52,BROOKLYN,11218,40.652634,-73.9813,"(40.652634, -73.9813)",MC DONALD AVENUE                ,SEELEY STREET,,0,0,0,0,0,0,0,0,Obstruction/Debris,Unspecified,,,,3893537,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
05/03/2018,8:51,BROOKLYN,11217,40.682415,-73.97065,"(40.682415, -73.97065)",ATLANTIC AVENUE                 ,CARLTON AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3893538,PASSENGER VEHICLE,MS,,,
05/03/2018,8:50,QUEENS,11434,40.666935,-73.77734,"(40.666935, -73.77734)",SOUTH CONDUIT AVENUE            ,167 STREET,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3893474,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
05/03/2018,8:50,BRONX,10461,40.84121,-73.84748,"(40.84121, -73.84748)",,,2518      SAINT RAYMOND AVENUE          ,0,0,0,0,0,0,0,0,Unspecified,,,,,3893811,PASSENGER VEHICLE,,,,
05/03/2018,8:50,BRONX,10459,40.818134,-73.89436,"(40.818134, -73.89436)",,,867       SOUTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3893329,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:49,,,40.663517,-73.90238,"(40.663517, -73.90238)",LIVONIA AVENUE                  ,,,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3893087,PASSENGER VEHICLE,,,,
05/03/2018,8:47,,,40.619267,-74.1382,"(40.619267, -74.1382)",LIVERMORE AVENUE                ,LATHROP AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3893437,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,8:47,MANHATTAN,10033,40.851395,-73.94129,"(40.851395, -73.94129)",WEST 181 STREET                 ,HAVEN AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3893334,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:46,BROOKLYN,11215,40.664394,-73.99394,"(40.664394, -73.99394)",4 AVENUE                        ,18 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893535,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:45,QUEENS,11373,40.742317,-73.869576,"(40.742317, -73.869576)",,,94-03     CORONA AVENUE                 ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3893536,DS,,,,
05/03/2018,8:45,MANHATTAN,10036,40.755714,-73.98829,"(40.755714, -73.98829)",,,220       WEST 41 STREET                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3893333,PASSENGER VEHICLE,,,,
05/03/2018,8:45,MANHATTAN,10029,40.79931,-73.943245,"(40.79931, -73.943245)",EAST 116 STREET                 ,PARK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893287,PASSENGER VEHICLE,TAXI,,,
05/03/2018,8:45,BROOKLYN,11233,40.675865,-73.92194,"(40.675865, -73.92194)",,,382       RALPH AVENUE                  ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3894941,PASSENGER VEHICLE,FB,,,
05/03/2018,8:45,BROOKLYN,11220,40.61143,-74.03485,"(40.61143, -74.03485)",SHORE ROAD                      ,4 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unsafe Speed,,,,3893114,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,8:44,QUEENS,11420,40.668724,-73.81082,"(40.668724, -73.81082)",135 AVENUE                      ,129 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3893466,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:40,QUEENS,11385,40.699837,-73.90869,"(40.699837, -73.90869)",SAINT NICHOLAS                  ,MYRTLE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3897650,Station Wagon/Sport Utility Vehicle,Taxi,,,
05/03/2018,8:40,MANHATTAN,10003,40.73602,-73.98228,"(40.73602, -73.98228)",2 AVENUE                        ,EAST 20 STREET,,0,0,0,0,0,0,0,0,Passenger Distraction,Unsafe Lane Changing,,,,3893339,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,8:38,BRONX,10468,40.865345,-73.90849,"(40.865345, -73.90849)",BAILEY AVENUE                   ,SEDGWICK AVENUE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,3893065,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
05/03/2018,8:35,BROOKLYN,11216,40.675106,-73.94836,"(40.675106, -73.94836)",,,752       SAINT MARKS AVENUE            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893701,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/03/2018,8:30,,,40.76856,-73.906975,"(40.76856, -73.906975)",GRAND CENTRAL PKWY              ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3893897,DP,DS,,,
05/03/2018,8:30,,,40.667236,-73.770004,"(40.667236, -73.770004)",BELT PARKWAY                    ,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Unspecified,,,3909623,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
05/03/2018,8:30,,,40.75517,-73.8891,"(40.75517, -73.8891)",NORTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3893598,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/03/2018,8:30,,,,,,HORACE HARDING EXPRESSWAY       ,CLEARVIEW EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3893351,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
